ArrestID,Incident,Arrest Date,Arrest Time,Age,Sex,Race,Ethnicity,Law,Crime LongID,Code Description,Attempt,Arrest type,Last 30 Days,City,State,Neighborhood Association,NeighborhoodXY
APD*200001886,"20,155,030",12/22/2020 0:00,11:55,28,M,W,N,PL,PL 140.10   0A    BM3,CRIM TRESAPSS 3RD - ENCLSD PROP,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000003,"21,000,494",1/2/2021 0:00,2:26,43,M,B,N,PL,PL 215.51   D     EF1,CRIM CONTEMPT 1/ORDER PRO PROP,C,Crime in Progress,FALSE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210000245,"21,018,162",2/13/2021 0:00,2:35,21,F,W,N,PL,PL 175.35         EF1,OFFER FILE FALSE INSTRUMNT-1ST,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000385,"18,129,335",3/9/2021 0:00,9:49,57,F,B,N,PL,PL 158.15         DF3,WELFARE FRAUD-3RD DEGREE,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000801,"21,062,748",5/22/2021 0:00,2:15,21,M,B,N,PL,PL 125.25   02    AF2,MURDER/DEPRAVED INDIFFERENCE,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000804,"21,063,358",5/22/2021 0:00,20:45,44,M,W,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Crime in Progress,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*200001890,"20,149,182",12/23/2020 0:00,10:49,30,M,B,N,PL,PL 265.03   03    CF2,CPW-2ND: LOADED FIREARM,C,Crime in Progress,FALSE,Albany,NY,Sheridan Hollow,POINT (-73.7574072754 42.6566895795)
APD*200001889,"20,164,968",12/23/2020 0:00,1:22,62,M,B,N,PL,PL 120.00   01    AM3,ASLT W/INT CAUSES PHYS INJURY,C,Crime in Progress,FALSE,Albany,NY,Melrose,POINT (-73.7990796239 42.6727006271)
APD*200001891,"20,165,169",12/23/2020 0:00,13:00,58,F,W,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Crime in Progress,FALSE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210000198,"21,016,248",2/8/2021 0:00,14:17,46,M,W,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Crime in Progress,FALSE,Albany,NY,Black,
APD*210000199,"21,016,248",2/8/2021 0:00,14:17,50,F,W,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Crime in Progress,FALSE,Albany,NY,Black,
APD*210000200,"21,016,261",2/8/2021 0:00,14:41,23,M,B,N,PL,PL 221.25         DF2,CRIM POSS MARIHUANA 2ND,C,Other,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210000196,"21,016,060",2/8/2021 0:00,5:17,51,M,B,N,PL,PL 145.00   01    AM4,CRIM MIS INTENT DAMAGE PROPRTY,C,Complaint,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210000203,"21,016,335",2/8/2021 0:00,17:52,28,M,B,N,PL,PL 145.05   02    EF3,CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250,C,Crime in Progress,FALSE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210000004,"21,000,817",1/2/2021 0:00,22:05,40,F,B,N,PL,PL 220.03         AM7,CRIM POSS CONTRL SUBST,C,Crime in Progress,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210000991,"21,075,217",6/18/2021 0:00,17:15,21,M,B,N,PL,PL 140.25   02    CF2,BURG:W/CRI INT - DWELLING,C,Other,FALSE,Albany,NY,Arbor Hill Concerned Citizens,POINT (-73.7532258347 42.6622200365)
APD*200001895,"20,165,843",12/24/2020 0:00,23:47,28,M,B,N,PL,PL 121.12         DF2,STRANGULATION 2ND-OBSTRUCT BREATH/BLOOD CIRC-CAUSE PHYS INJ,C,Crime in Progress,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210000481,"21,015,425",3/25/2021 0:00,8:30,25,F,W,N,PL,PL 140.20         DF3,BURGLARY 3RD,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*200001893,"20,165,463",12/24/2020 0:00,2:11,22,M,B,N,PL,PL 120.14   01    AM2,MENACING-2ND - WEAPON,C,Crime in Progress,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210000483,"21,003,647",3/25/2021 0:00,8:30,25,F,W,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000484,"20,156,126",3/25/2021 0:00,8:30,25,F,W,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000008,"20,086,720",1/4/2021 0:00,10:55,28,F,B,N,PL,PL 120.00   01    AM3,ASLT W/INT CAUSES PHYS INJURY,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210001433,"21,111,271",8/25/2021 0:00,6:26,52,M,B,N,PL,PL 140.25   02    CF2,BURG:W/CRI INT - DWELLING,C,Crime in Progress,FALSE,Albany,NY,Black,
APD*210001556,"21,117,347",9/4/2021 0:00,22:20,51,F,B,N,PL,PL 190.25   01    AM2,CRIM IMPERS  ANOTHR PERS W/INT,C,Crime in Progress,TRUE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000803,"21,063,337",5/22/2021 0:00,20:21,24,M,B,N,PL,PL 120.15         BM3,MENACING 3RD,C,Crime in Progress,FALSE,Albany,NY,Sheridan Hollow,POINT (-73.7574072754 42.6566895795)
APD*210000005,"21,000,968",1/3/2021 0:00,11:45,34,F,B,N,PL,PL 240.26   01    0V2,HARRASSMENT 2ND- PHY CONTACT,C,Complaint,FALSE,Albany,NY,Black,
APD*210001558,"21,117,414",9/5/2021 0:00,10:06,27,M,B,N,PL,PL 120.00   01    AM3,ASLT W/INT CAUSES PHYS INJURY,C,Complaint,TRUE,Albany,NY,No. Albany / Shaker Park,POINT (-73.7452874985 42.6728269867)
APD*210000154,"20,146,075",1/29/2021 0:00,14:31,20,M,W,N,PL,PL 121.11   A     AM0,OBSTRUCTION BREATHING/BLOOD CIRCULATION-APPLY PRESSURE,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000856,"21,067,289",5/30/2021 0:00,19:30,33,M,B,N,PL,PL 220.03         AM7,CRIM POSS CONTRL SUBST,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210001208,"21,084,222",7/19/2021 0:00,11:35,32,M,B,N,PL,PL 160.05         DF3,ROBBERY-3RD,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000156,"21,012,497",1/30/2021 0:00,18:11,51,M,B,N,PL,PL 220.16   12    BF3,CRIM POSS CONTR SUB/NARCO,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*200001898,"20,166,562",12/26/2020 0:00,22:28,23,M,W,N,PL,PL 140.25         CF2,BURGLARY-2ND,C,Crime in Progress,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*200001897,"20,166,395",12/26/2020 0:00,13:13,34,M,B,N,PL,PL 120.08         CF0,ASLT-POLICE OFF/FIREMAN/EMT,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000319,"20,134,901",2/26/2021 0:00,9:00,45,M,B,N,PL,PL 125.25   01    AF2,MURDER  INTENTION,A,Complaint,FALSE,Albany,NY,Black,
APD*210001428,"20,043,578",8/25/2021 0:00,11:50,47,M,B,N,PL,PL 165.05   01    AM3,UNAUTH USE VEH W/O OWNR CONST,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210001761,"21,128,048",9/24/2021 0:00,21:45,34,M,B,N,PL,PL 155.35         DF3,GRAND LARCENY 3 VALUE GREATER THAN $3000,C,Complaint,TRUE,Albany,NY,Arbor Hill Concerned Citizens,POINT (-73.7532258347 42.6622200365)
APD*210001310,"20,074,401",8/6/2021 0:00,21:30,40,M,W,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000996,"21,076,699",6/18/2021 0:00,18:20,35,F,B,N,PL,PL 215.51   BIII  EF1,CRIM CONTEMPT-1ST - COMMUNICATES,,Order of Protection,FALSE,Albany,NY,No. Albany / Shaker Park,POINT (-73.7452874985 42.6728269867)
APD*210000009,"21,001,414",1/4/2021 0:00,15:15,28,M,W,N,PL,PL 160.05         DF3,ROBBERY-3RD,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000756,"21,059,484",5/15/2021 0:00,3:53,26,F,W,N,PL,PL 155.35         DF3,GRAND LARCENY 3 VALUE GREATER THAN $3000,C,Crime in Progress,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210000992,"21,076,665",6/18/2021 0:00,17:15,21,M,B,N,PL,PL 140.10   0E    BM3,CRIM TRESPASS 3RD - PUB HOUSING,C,Crime in Progress,FALSE,Albany,NY,Arbor Hill Concerned Citizens,POINT (-73.7532258347 42.6622200365)
APD*210000758,,5/15/2021 0:00,17:54,42,F,B,N,PL,PL 140.05         0V0,TRESPASS,C,Crime in Progress,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210001211,"21,092,300",7/19/2021 0:00,17:46,22,M,B,N,PL,PL 120.05   02    DF2,ASLT W/INT CAUSE PH INJ W/WEAP,C,Crime in Progress,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210000592,"20,160,434",4/16/2021 0:00,9:30,29,M,B,N,PL,PL 121.12         DF2,STRANGULATION 2ND-OBSTRUCT BREATH/BLOOD CIRC-CAUSE PHYS INJ,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000206,"21,016,469",2/9/2021 0:00,6:36,34,M,B,N,PL,PL 195.05         AM2,OBSTRUCT GOVERNMENTL ADMIN 2ND,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000205,"21,016,455",2/9/2021 0:00,4:59,34,M,B,N,PL,PL 120.05   02    DF2,ASLT W/INT CAUSE PH INJ W/WEAP,C,Complaint,FALSE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210001455,"21,112,922",8/28/2021 0:00,1:13,21,M,B,N,PL,PL 240.20   01    0V0,DIS/CON  FIGHT/VIOLENT BEHAVIOR,C,Crime in Progress,TRUE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210001212,"19,162,172",6/4/2021 0:00,9:30,39,M,W,N,PL,PL 140.25   02    CF2,BURG:W/CRI INT - DWELLING,C,Indictment Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000495,"21,036,680",3/26/2021 0:00,19:21,30,F,B,N,PL,PL 120.00   01    AM3,ASLT W/INT CAUSES PHYS INJURY,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000589,"20,104,662",4/16/2021 0:00,10:00,27,M,W,N,PL,PL 140.20         DF3,BURGLARY 3RD,C,Summons,FALSE,Albany,NY,Black,
APD*210001175,"21,089,518",7/14/2021 0:00,2:05,20,F,B,N,PL,PL 220.03         AM7,CRIM POSS CONTRL SUBST,C,Crime in Progress,FALSE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210000858,"20,148,875",5/31/2021 0:00,13:20,31,M,B,N,PL,PL 120.00   01    AM3,ASLT W/INT CAUSES PHYS INJURY,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000590,"20,106,807",4/16/2021 0:00,9:00,27,M,W,N,PL,PL 140.20         DF3,BURGLARY 3RD,C,Summons,FALSE,Albany,NY,Black,
APD*210000088,"21,001,390",1/20/2021 0:00,10:00,43,F,B,N,PL,PL 260.10   01    AM0,ACT IN MANNER INJUR CHILD LESS THAN 16,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000083,"21,007,953",1/20/2021 0:00,7:53,60,M,W,N,PL,PL 121.11   A     AM0,OBSTRUCTION BREATHING/BLOOD CIRCULATION-APPLY PRESSURE,C,Crime in Progress,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210000491,"21,036,712",3/26/2021 0:00,9:35,45,F,B,N,PL,PL 145.00   01    AM4,CRIM MIS INTENT DAMAGE PROPRTY,C,Crime in Progress,FALSE,Albany,NY,Arbor Hill Concerned Citizens,POINT (-73.7532258347 42.6622200365)
APD*210000490,"21,036,720",3/26/2021 0:00,9:45,32,M,W,N,PL,PL 155.35         DF3,GRAND LARCENY 3 VALUE GREATER THAN $3000,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000494,"21,036,680",3/26/2021 0:00,19:21,31,F,B,N,PL,PL 120.00   01    AM3,ASLT W/INT CAUSES PHYS INJURY,C,Other,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000492,"20,048,545",3/26/2021 0:00,14:00,25,M,B,N,PL,PL 120.00   01    AM3,ASLT W/INT CAUSES PHYS INJURY,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000953,"21,064,317",6/14/2021 0:00,11:53,35,M,B,N,PL,PL 140.25   02    CF2,BURG:W/CRI INT - DWELLING,C,Arrest Warrant,FALSE,Albany,NY,No. Albany / Shaker Park,POINT (-73.7452874985 42.6728269867)
APD*210000757,"21,059,615",5/15/2021 0:00,11:56,51,M,W,N,PL,PL 140.05         0V0,TRESPASS,C,Crime in Progress,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210001072,"21,080,353",6/25/2021 0:00,22:08,38,M,W,N,PL,PL 105.15         BF2,CONSPIRACY -2ND,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000542,"21,013,653",4/6/2021 0:00,10:37,40,F,B,N,PL,PL 155.30   05    EF4,GR LAR 4 PROPERTY FROM PERSON,C,Arrest Warrant,FALSE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210000805,"21,063,491",5/23/2021 0:00,2:53,29,M,B,N,PL,PL 220.03         AM7,CRIM POSS CONTRL SUBST,C,Crime in Progress,FALSE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210000262,"20,157,403",2/17/2021 0:00,13:30,30,M,W,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000260,"20,157,405",2/17/2021 0:00,11:30,30,M,W,N,PL,PL 155.30   01    EF4,GR LAR 4-VALUE PROPERTY GREATER THAN $1000,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000013,"21,002,239",1/6/2021 0:00,11:03,19,M,B,N,PL,PL 265.03   03    CF2,CPW-2ND: LOADED FIREARM,C,Crime in Progress,FALSE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210000014,"20,149,753",1/6/2021 0:00,13:00,44,M,B,N,PL,PL 221.30         CF1,CRIM POSS MARIHUANA 1ST,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000021,"21,003,173",1/8/2021 0:00,14:31,42,M,B,N,PL,PL 145.00   01    AM4,CRIM MIS INTENT DAMAGE PROPRTY,C,Crime in Progress,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210000029,"21,003,693",1/9/2021 0:00,20:56,48,M,B,N,PL,PL 240.26   01    0V2,HARRASSMENT 2ND- PHY CONTACT,C,Crime in Progress,FALSE,Albany,NY,Arbor Hill Concerned Citizens,POINT (-73.7532258347 42.6622200365)
APD*210000266,"21,020,087",2/17/2021 0:00,18:39,26,M,B,N,PL,PL 221.05         0V2,UNLAWFUL POSSESSION OF MARIHUANA 2ND DEGREE,C,Crime in Progress,FALSE,Albany,NY,Arbor Hill Concerned Citizens,POINT (-73.7532258347 42.6622200365)
APD*210000264,"21,019,929",2/17/2021 0:00,13:03,22,M,B,N,PL,PL 265.03   03    CF2,CPW-2ND: LOADED FIREARM,C,Crime in Progress,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
